STATION,NAME,DATE,rain,temp
TH000048455,"BANGKOK METROPOLIS, TH",2014/10/20,13.2,28.2
TH000048455,"BANGKOK METROPOLIS, TH",2014/10/21,49.8,27.8
TH000048455,"BANGKOK METROPOLIS, TH",2014/10/22,0.3,28.4
TH000048455,"BANGKOK METROPOLIS, TH",2014/10/23,0.3,27.3
TH000048455,"BANGKOK METROPOLIS, TH",2014/10/24,2,27.6
TH000048455,"BANGKOK METROPOLIS, TH",2014/10/25,5.1,27.6
TH000048455,"BANGKOK METROPOLIS, TH",2014/10/26,7.1,27.8
TH000048455,"BANGKOK METROPOLIS, TH",2014/10/27,36.3,27.9
TH000048455,"BANGKOK METROPOLIS, TH",2014/10/28,0.8,27.9
TH000048455,"BANGKOK METROPOLIS, TH",2014/10/29,0.3,27.6
TH000048455,"BANGKOK METROPOLIS, TH",2014/10/30,,28.8
TH000048455,"BANGKOK METROPOLIS, TH",2014/10/31,4.3,28.7
TH000048455,"BANGKOK METROPOLIS, TH",2014/11/1,1,29
TH000048455,"BANGKOK METROPOLIS, TH",2014/11/2,,28.7
TH000048455,"BANGKOK METROPOLIS, TH",2014/11/3,,29.1
TH000048455,"BANGKOK METROPOLIS, TH",2014/11/4,5.8,27.1
TH000048455,"BANGKOK METROPOLIS, TH",2014/11/5,1.8,28.1
TH000048455,"BANGKOK METROPOLIS, TH",2014/11/6,0.5,29.4
TH000048455,"BANGKOK METROPOLIS, TH",2014/11/7,11.2,27.9
TH000048455,"BANGKOK METROPOLIS, TH",2014/11/8,,29.6
TH000048455,"BANGKOK METROPOLIS, TH",2014/11/9,,29.8
TH000048455,"BANGKOK METROPOLIS, TH",2014/11/10,,30.1
TH000048455,"BANGKOK METROPOLIS, TH",2014/11/11,,30.1
TH000048455,"BANGKOK METROPOLIS, TH",2014/11/12,,30.3
TH000048455,"BANGKOK METROPOLIS, TH",2014/11/13,,29.8
TH000048455,"BANGKOK METROPOLIS, TH",2014/11/14,,29
TH000048455,"BANGKOK METROPOLIS, TH",2014/11/15,,29.7
TH000048455,"BANGKOK METROPOLIS, TH",2014/11/16,,29.6
TH000048455,"BANGKOK METROPOLIS, TH",2014/11/17,,29.6
TH000048455,"BANGKOK METROPOLIS, TH",2014/11/18,,28.7
TH000048455,"BANGKOK METROPOLIS, TH",2014/11/19,,27.9
TH000048455,"BANGKOK METROPOLIS, TH",2014/11/20,,27.9
TH000048455,"BANGKOK METROPOLIS, TH",2014/11/21,,28.5
TH000048455,"BANGKOK METROPOLIS, TH",2014/11/22,,29.1
TH000048455,"BANGKOK METROPOLIS, TH",2014/11/23,,29.9
TH000048455,"BANGKOK METROPOLIS, TH",2014/11/24,,29.7
TH000048455,"BANGKOK METROPOLIS, TH",2014/11/25,,29.9
TH000048455,"BANGKOK METROPOLIS, TH",2014/11/26,,30.8
TH000048455,"BANGKOK METROPOLIS, TH",2014/11/27,1.3,29.2
TH000048455,"BANGKOK METROPOLIS, TH",2014/11/28,,28.8
TH000048455,"BANGKOK METROPOLIS, TH",2014/11/29,0.5,29.4
TH000048455,"BANGKOK METROPOLIS, TH",2014/11/30,0.3,30.2
TH000048455,"BANGKOK METROPOLIS, TH",2014/12/1,0,30.7
TH000048455,"BANGKOK METROPOLIS, TH",2014/12/2,0.5,27.8
TH000048455,"BANGKOK METROPOLIS, TH",2014/12/3,,28.8
TH000048455,"BANGKOK METROPOLIS, TH",2014/12/4,10.9,28.7
TH000048455,"BANGKOK METROPOLIS, TH",2014/12/5,,28.1
TH000048455,"BANGKOK METROPOLIS, TH",2014/12/6,,28.8
TH000048455,"BANGKOK METROPOLIS, TH",2014/12/7,,29.5
TH000048455,"BANGKOK METROPOLIS, TH",2014/12/8,,29.2
TH000048455,"BANGKOK METROPOLIS, TH",2014/12/9,,28.8
TH000048455,"BANGKOK METROPOLIS, TH",2014/12/10,,28.2
TH000048455,"BANGKOK METROPOLIS, TH",2014/12/11,,29.3
TH000048455,"BANGKOK METROPOLIS, TH",2014/12/12,,28.4
TH000048455,"BANGKOK METROPOLIS, TH",2014/12/13,,26.3
TH000048455,"BANGKOK METROPOLIS, TH",2014/12/14,,26.9
TH000048455,"BANGKOK METROPOLIS, TH",2014/12/15,,27.9
TH000048455,"BANGKOK METROPOLIS, TH",2014/12/16,,27.4
TH000048455,"BANGKOK METROPOLIS, TH",2014/12/17,,25.3
TH000048455,"BANGKOK METROPOLIS, TH",2014/12/18,,25.1
TH000048455,"BANGKOK METROPOLIS, TH",2014/12/19,,25.3
TH000048455,"BANGKOK METROPOLIS, TH",2014/12/20,,26.4
TH000048455,"BANGKOK METROPOLIS, TH",2014/12/21,,27.3
TH000048455,"BANGKOK METROPOLIS, TH",2014/12/22,,24.4
TH000048455,"BANGKOK METROPOLIS, TH",2014/12/23,,25
TH000048455,"BANGKOK METROPOLIS, TH",2014/12/24,,27
TH000048455,"BANGKOK METROPOLIS, TH",2014/12/25,,28.1
TH000048455,"BANGKOK METROPOLIS, TH",2014/12/26,,29.6
TH000048455,"BANGKOK METROPOLIS, TH",2014/12/27,19.8,28.2
TH000048455,"BANGKOK METROPOLIS, TH",2014/12/28,,28.3
TH000048455,"BANGKOK METROPOLIS, TH",2014/12/29,,26.4
TH000048455,"BANGKOK METROPOLIS, TH",2014/12/30,,25.4
TH000048455,"BANGKOK METROPOLIS, TH",2014/12/31,,25.6
TH000048455,"BANGKOK METROPOLIS, TH",2015/1/1,,24.9
TH000048455,"BANGKOK METROPOLIS, TH",2015/1/2,,23.8
TH000048455,"BANGKOK METROPOLIS, TH",2015/1/3,,25.4
TH000048455,"BANGKOK METROPOLIS, TH",2015/1/4,,26.7
TH000048455,"BANGKOK METROPOLIS, TH",2015/1/5,,27.4
TH000048455,"BANGKOK METROPOLIS, TH",2015/1/6,,28.6
TH000048455,"BANGKOK METROPOLIS, TH",2015/1/7,,29.2
TH000048455,"BANGKOK METROPOLIS, TH",2015/1/8,1,27
TH000048455,"BANGKOK METROPOLIS, TH",2015/1/9,1,27.9
TH000048455,"BANGKOK METROPOLIS, TH",2015/1/10,0.3,25.8
TH000048455,"BANGKOK METROPOLIS, TH",2015/1/11,0,24
TH000048455,"BANGKOK METROPOLIS, TH",2015/1/12,0,23.7
