STATION,NAME,DATE,rain,temp
TH000048327,"CHIANG MAI, TH",2014/8/30,5.1,25.7
TH000048327,"CHIANG MAI, TH",2014/8/31,64,26.2
TH000048327,"CHIANG MAI, TH",2014/9/1,1.8,27.5
TH000048327,"CHIANG MAI, TH",2014/9/2,18.5,25.7
TH000048327,"CHIANG MAI, TH",2014/9/3,38.9,25.6
TH000048327,"CHIANG MAI, TH",2014/9/4,17,26
TH000048327,"CHIANG MAI, TH",2014/9/5,0,27.7
TH000048327,"CHIANG MAI, TH",2014/9/6,1,26.7
TH000048327,"CHIANG MAI, TH",2014/9/7,0.3,28.2
TH000048327,"CHIANG MAI, TH",2014/9/8,0,28.4
TH000048327,"CHIANG MAI, TH",2014/9/9,,28.7
TH000048327,"CHIANG MAI, TH",2014/9/10,,29
TH000048327,"CHIANG MAI, TH",2014/9/11,,29.2
TH000048327,"CHIANG MAI, TH",2014/9/12,0,28.6
TH000048327,"CHIANG MAI, TH",2014/9/13,13.2,27.4
TH000048327,"CHIANG MAI, TH",2014/9/14,0.3,27.2
TH000048327,"CHIANG MAI, TH",2014/9/15,22.9,28.4
TH000048327,"CHIANG MAI, TH",2014/9/16,6.9,27
TH000048327,"CHIANG MAI, TH",2014/9/17,1.3,28.6
TH000048327,"CHIANG MAI, TH",2014/9/18,13.5,25.7
TH000048327,"CHIANG MAI, TH",2014/9/19,,27.2
TH000048327,"CHIANG MAI, TH",2014/9/20,1.3,27.2
TH000048327,"CHIANG MAI, TH",2014/9/21,1,26.3
TH000048327,"CHIANG MAI, TH",2014/9/22,0.3,26.6
TH000048327,"CHIANG MAI, TH",2014/9/23,0,27.7
TH000048327,"CHIANG MAI, TH",2014/9/24,1.5,27.4
TH000048327,"CHIANG MAI, TH",2014/9/25,12.7,25.7
TH000048327,"CHIANG MAI, TH",2014/9/26,10.9,25.1
TH000048327,"CHIANG MAI, TH",2014/9/27,1.3,27.1
TH000048327,"CHIANG MAI, TH",2014/9/28,0,28.3
TH000048327,"CHIANG MAI, TH",2014/9/29,16.5,25.5
TH000048327,"CHIANG MAI, TH",2014/9/30,,27.2
TH000048327,"CHIANG MAI, TH",2014/10/1,,27.5
TH000048327,"CHIANG MAI, TH",2014/10/2,,27.8
TH000048327,"CHIANG MAI, TH",2014/10/3,,28.1
TH000048327,"CHIANG MAI, TH",2014/10/4,,28.1
TH000048327,"CHIANG MAI, TH",2014/10/5,13.5,26
TH000048327,"CHIANG MAI, TH",2014/10/6,0.8,26.7
TH000048327,"CHIANG MAI, TH",2014/10/7,0.5,26
TH000048327,"CHIANG MAI, TH",2014/10/8,0,25.7
TH000048327,"CHIANG MAI, TH",2014/10/9,,25.3
TH000048327,"CHIANG MAI, TH",2014/10/10,,27.2
TH000048327,"CHIANG MAI, TH",2014/10/11,,27.8
TH000048327,"CHIANG MAI, TH",2014/10/12,44.7,26.5
TH000048327,"CHIANG MAI, TH",2014/10/13,,26.6
TH000048327,"CHIANG MAI, TH",2014/10/14,,26.7
TH000048327,"CHIANG MAI, TH",2014/10/15,,26.3
TH000048327,"CHIANG MAI, TH",2014/10/16,,26.2
TH000048327,"CHIANG MAI, TH",2014/10/17,,26.1
TH000048327,"CHIANG MAI, TH",2014/10/18,,26.9
TH000048327,"CHIANG MAI, TH",2014/10/19,,27.1
TH000048327,"CHIANG MAI, TH",2014/10/20,0,26.6
TH000048327,"CHIANG MAI, TH",2014/10/21,0,26.7
TH000048327,"CHIANG MAI, TH",2014/10/22,12.2,24.2
TH000048327,"CHIANG MAI, TH",2014/10/23,35.8,25.3
TH000048327,"CHIANG MAI, TH",2014/10/24,8.6,25.6
TH000048327,"CHIANG MAI, TH",2014/10/25,0.3,26.7
TH000048327,"CHIANG MAI, TH",2014/10/26,0,27.4
TH000048327,"CHIANG MAI, TH",2014/10/27,,27.3
TH000048327,"CHIANG MAI, TH",2014/10/28,,27.6
TH000048327,"CHIANG MAI, TH",2014/10/29,13.7,27.2
TH000048327,"CHIANG MAI, TH",2014/10/30,,26.8
TH000048327,"CHIANG MAI, TH",2014/10/31,,27.3
TH000048327,"CHIANG MAI, TH",2014/11/1,,27.8
TH000048327,"CHIANG MAI, TH",2014/11/2,,28
TH000048327,"CHIANG MAI, TH",2014/11/3,0.3,26.7
TH000048327,"CHIANG MAI, TH",2014/11/4,0,26.8
TH000048327,"CHIANG MAI, TH",2014/11/5,6.6,23.9
TH000048327,"CHIANG MAI, TH",2014/11/6,7.4,23.8
TH000048327,"CHIANG MAI, TH",2014/11/7,1.8,25.2
TH000048327,"CHIANG MAI, TH",2014/11/8,0.5,26.8
TH000048327,"CHIANG MAI, TH",2014/11/9,0,27.1
TH000048327,"CHIANG MAI, TH",2014/11/10,,26.7
TH000048327,"CHIANG MAI, TH",2014/11/11,,26.6
TH000048327,"CHIANG MAI, TH",2014/11/12,,26.2
TH000048327,"CHIANG MAI, TH",2014/11/13,,26.4
TH000048327,"CHIANG MAI, TH",2014/11/14,,27.1
TH000048327,"CHIANG MAI, TH",2014/11/15,,26.7
TH000048327,"CHIANG MAI, TH",2014/11/16,,26.6
TH000048327,"CHIANG MAI, TH",2014/11/17,0,25.7
TH000048327,"CHIANG MAI, TH",2014/11/18,,25.6
TH000048327,"CHIANG MAI, TH",2014/11/19,,25.7
TH000048327,"CHIANG MAI, TH",2014/11/20,,24.6
TH000048327,"CHIANG MAI, TH",2014/11/21,,24.2
TH000048327,"CHIANG MAI, TH",2014/11/22,,23.8
TH000048327,"CHIANG MAI, TH",2014/11/23,,23.5
TH000048327,"CHIANG MAI, TH",2014/11/24,,22.9
TH000048327,"CHIANG MAI, TH",2014/11/25,,22.9
TH000048327,"CHIANG MAI, TH",2014/11/26,,23.3
TH000048327,"CHIANG MAI, TH",2014/11/27,,23.1
TH000048327,"CHIANG MAI, TH",2014/11/28,,23.6
TH000048327,"CHIANG MAI, TH",2014/11/29,,22.7
TH000048327,"CHIANG MAI, TH",2014/11/30,,21
TH000048327,"CHIANG MAI, TH",2014/12/1,,21.4
TH000048327,"CHIANG MAI, TH",2014/12/2,,23.1
TH000048327,"CHIANG MAI, TH",2014/12/3,,24.2
TH000048327,"CHIANG MAI, TH",2014/12/4,,24.9
TH000048327,"CHIANG MAI, TH",2014/12/5,,25.6
TH000048327,"CHIANG MAI, TH",2014/12/6,,27.2
TH000048327,"CHIANG MAI, TH",2014/12/7,,26
TH000048327,"CHIANG MAI, TH",2014/12/8,,26.1
TH000048327,"CHIANG MAI, TH",2014/12/9,,25.4
TH000048327,"CHIANG MAI, TH",2014/12/10,,24.3
TH000048327,"CHIANG MAI, TH",2014/12/11,,23.7
TH000048327,"CHIANG MAI, TH",2014/12/12,,23.6
TH000048327,"CHIANG MAI, TH",2014/12/13,,23.3
TH000048327,"CHIANG MAI, TH",2014/12/14,,23
TH000048327,"CHIANG MAI, TH",2014/12/15,,23.8
TH000048327,"CHIANG MAI, TH",2014/12/16,,24.4
TH000048327,"CHIANG MAI, TH",2014/12/17,,21.1
TH000048327,"CHIANG MAI, TH",2014/12/18,,19.4
TH000048327,"CHIANG MAI, TH",2014/12/19,,20.7
TH000048327,"CHIANG MAI, TH",2014/12/20,,20.9
TH000048327,"CHIANG MAI, TH",2014/12/21,,23.1
TH000048327,"CHIANG MAI, TH",2014/12/22,,19
TH000048327,"CHIANG MAI, TH",2014/12/23,,18.4
TH000048327,"CHIANG MAI, TH",2014/12/24,,19.2
TH000048327,"CHIANG MAI, TH",2014/12/25,,20.2
TH000048327,"CHIANG MAI, TH",2014/12/26,,22.3
TH000048327,"CHIANG MAI, TH",2014/12/27,,24.1
TH000048327,"CHIANG MAI, TH",2014/12/28,,25.3
TH000048327,"CHIANG MAI, TH",2014/12/29,,24.4
TH000048327,"CHIANG MAI, TH",2014/12/30,,22.9
TH000048327,"CHIANG MAI, TH",2014/12/31,,23.7
TH000048327,"CHIANG MAI, TH",2015/1/1,,22.6
TH000048327,"CHIANG MAI, TH",2015/1/2,,21.2
TH000048327,"CHIANG MAI, TH",2015/1/3,,21.6
TH000048327,"CHIANG MAI, TH",2015/1/4,,22.7
TH000048327,"CHIANG MAI, TH",2015/1/5,,24
TH000048327,"CHIANG MAI, TH",2015/1/6,,24.1
TH000048327,"CHIANG MAI, TH",2015/1/7,,25.1
TH000048327,"CHIANG MAI, TH",2015/1/8,8.9,22.6
TH000048327,"CHIANG MAI, TH",2015/1/9,70.1,19.4
TH000048327,"CHIANG MAI, TH",2015/1/10,10.2,20.9
TH000048327,"CHIANG MAI, TH",2015/1/11,0,20.9
TH000048327,"CHIANG MAI, TH",2015/1/12,,20.3
TH000048327,"CHIANG MAI, TH",2015/1/13,,19.1
TH000048327,"CHIANG MAI, TH",2015/1/14,,19.4
TH000048327,"CHIANG MAI, TH",2015/1/15,,20.7
TH000048327,"CHIANG MAI, TH",2015/1/16,,21.8
TH000048327,"CHIANG MAI, TH",2015/1/17,,20.6
TH000048327,"CHIANG MAI, TH",2015/1/18,,21.2
TH000048327,"CHIANG MAI, TH",2015/1/19,,21.2
TH000048327,"CHIANG MAI, TH",2015/1/20,,21.8
TH000048327,"CHIANG MAI, TH",2015/1/21,,22.4
TH000048327,"CHIANG MAI, TH",2015/1/22,,22.1
TH000048327,"CHIANG MAI, TH",2015/1/23,,21.4
TH000048327,"CHIANG MAI, TH",2015/1/24,,21.4
TH000048327,"CHIANG MAI, TH",2015/1/25,,21.7
TH000048327,"CHIANG MAI, TH",2015/1/26,,21.7
TH000048327,"CHIANG MAI, TH",2015/1/27,,21.8
TH000048327,"CHIANG MAI, TH",2015/1/28,,21.9
TH000048327,"CHIANG MAI, TH",2015/1/29,,22.5
TH000048327,"CHIANG MAI, TH",2015/1/30,,22.7
TH000048327,"CHIANG MAI, TH",2015/1/31,,24.7
TH000048327,"CHIANG MAI, TH",2015/2/1,,25.2
TH000048327,"CHIANG MAI, TH",2015/2/2,,24.3
TH000048327,"CHIANG MAI, TH",2015/2/3,,23.6
