DATE,STATION,NAME,rain,temp,pm10,o3,no2,td
7/15/2014,TH000048455,"BANGKOK METROPOLIS, TH",0.8,28.6,25,20,21,8.5
7/16/2014,TH000048455,"BANGKOK METROPOLIS, TH",2.3,28.8,24,18,16,8
7/17/2014,TH000048455,"BANGKOK METROPOLIS, TH",0.3,29.7,23,13,17,9
7/18/2014,TH000048455,"BANGKOK METROPOLIS, TH",13.7,28.2,21,9,15,8.45270936
7/19/2014,TH000048455,"BANGKOK METROPOLIS, TH",1.5,27.3,21,12,15,3.3
7/20/2014,TH000048455,"BANGKOK METROPOLIS, TH",1.8,29.3,27,16,18,7.8
7/21/2014,TH000048455,"BANGKOK METROPOLIS, TH",1.5,29.8,38,18,18,6.7
7/22/2014,TH000048455,"BANGKOK METROPOLIS, TH",0,29.9,33,24,19,8.45270936
7/23/2014,TH000048455,"BANGKOK METROPOLIS, TH",0.8,29.9,24,15,18,7.5
7/24/2014,TH000048455,"BANGKOK METROPOLIS, TH",3,29.2,26,14,19,7.7
7/25/2014,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,30,30,14,19,7
7/26/2014,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,29.7,33,16,18,7.3
7/27/2014,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,29.5,25,8,20,8
7/28/2014,TH000048455,"BANGKOK METROPOLIS, TH",3.3,27.3,25,17,20,8.45270936
7/29/2014,TH000048455,"BANGKOK METROPOLIS, TH",11.2,28.1,34,20,18,8.1
7/30/2014,TH000048455,"BANGKOK METROPOLIS, TH",7.4,28.8,41,14,18,7.6
7/31/2014,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,29.4,43,16,17,7.7
8/1/2014,TH000048455,"BANGKOK METROPOLIS, TH",34,28.6,42,10,16,8.45270936
8/2/2014,TH000048455,"BANGKOK METROPOLIS, TH",9.1,28.1,39,11,13,6.8
8/3/2014,TH000048455,"BANGKOK METROPOLIS, TH",9.9,28.7,39,10,14,8.45270936
8/4/2014,TH000048455,"BANGKOK METROPOLIS, TH",3.6,28.9,34,10,14,7.4
8/5/2014,TH000048455,"BANGKOK METROPOLIS, TH",9.4,27.4,26,12,13,8.45270936
8/6/2014,TH000048455,"BANGKOK METROPOLIS, TH",4.1,28.4,25,10,12,8.5
8/7/2014,TH000048455,"BANGKOK METROPOLIS, TH",16.3,27.7,27,14,11,8.45270936
8/8/2014,TH000048455,"BANGKOK METROPOLIS, TH",1.5,28.4,23,15,12,9
8/9/2014,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,29.4,21,13,11,6.9
8/10/2014,TH000048455,"BANGKOK METROPOLIS, TH",0,29.1,23,18,11,7.3
8/11/2014,TH000048455,"BANGKOK METROPOLIS, TH",0,29.3,21,17,11,8.45270936
8/12/2014,TH000048455,"BANGKOK METROPOLIS, TH",10.9,29.2,26,17,11,9.8
8/13/2014,TH000048455,"BANGKOK METROPOLIS, TH",7.1,29.6,24,12,13,8.1
8/14/2014,TH000048455,"BANGKOK METROPOLIS, TH",3.6,29.2,22,11,13,8.45270936
8/15/2014,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,29.8,24,19,18,9.2
8/16/2014,TH000048455,"BANGKOK METROPOLIS, TH",19.1,29.4,31,5,13,7.8
8/17/2014,TH000048455,"BANGKOK METROPOLIS, TH",13.2,29.8,31,24,21,7.3
8/18/2014,TH000048455,"BANGKOK METROPOLIS, TH",10.7,29.9,21,20,18,9.8
8/19/2014,TH000048455,"BANGKOK METROPOLIS, TH",0.3,29.2,25,17,23,8.45270936
8/20/2014,TH000048455,"BANGKOK METROPOLIS, TH",0.8,28.7,28,16,20,8.45270936
8/21/2014,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,28.8,26,15,25,10.5
8/22/2014,TH000048455,"BANGKOK METROPOLIS, TH",9.4,28.7,28,16,24,7.2
8/23/2014,TH000048455,"BANGKOK METROPOLIS, TH",7.9,28.9,39,21,16,8.45270936
8/24/2014,TH000048455,"BANGKOK METROPOLIS, TH",17.5,29.8,32,20,19,8.45270936
8/25/2014,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,29.6,25,19,17,10.4
8/26/2014,TH000048455,"BANGKOK METROPOLIS, TH",60.2,28,31,34,22,8.45270936
8/27/2014,TH000048455,"BANGKOK METROPOLIS, TH",1.8,27.9,25,20,17,8.7
8/28/2014,TH000048455,"BANGKOK METROPOLIS, TH",53.3,28.4,27,16,14,8.3
8/29/2014,TH000048455,"BANGKOK METROPOLIS, TH",0.5,28.6,22,13,16,7.7
8/30/2014,TH000048455,"BANGKOK METROPOLIS, TH",0,27.9,24,11,13,4.7
8/31/2014,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,28.1,21,13,12,6.1
9/1/2014,TH000048455,"BANGKOK METROPOLIS, TH",2.8,27.8,21,10,13,7.1
9/2/2014,TH000048455,"BANGKOK METROPOLIS, TH",12.7,27.7,21,11,16,8.45270936
9/3/2014,TH000048455,"BANGKOK METROPOLIS, TH",2.3,28.1,24,15,15,7.9
9/4/2014,TH000048455,"BANGKOK METROPOLIS, TH",2.3,28.7,29,15,14,8.8
9/5/2014,TH000048455,"BANGKOK METROPOLIS, TH",2.3,28.7,24,19,14,8.6
9/6/2014,TH000048455,"BANGKOK METROPOLIS, TH",10.2,28.1,22,17,14,8.45270936
9/7/2014,TH000048455,"BANGKOK METROPOLIS, TH",2.8,27.4,21,18,13,9.4
9/8/2014,TH000048455,"BANGKOK METROPOLIS, TH",5.1,28.6,21,23,15,9
9/9/2014,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,30.1,20,18,16,9.1
9/10/2014,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,29.4,21,21,20,9.1
9/11/2014,TH000048455,"BANGKOK METROPOLIS, TH",0,28.6,23,17,18,8.45270936
9/12/2014,TH000048455,"BANGKOK METROPOLIS, TH",0,29.3,26,19,15,7.6
9/13/2014,TH000048455,"BANGKOK METROPOLIS, TH",0.5,29.5,26,21,13,9.1
9/14/2014,TH000048455,"BANGKOK METROPOLIS, TH",31,29.2,25,17,15,8.45270936
9/15/2014,TH000048455,"BANGKOK METROPOLIS, TH",1.8,28.8,25,13,21,9.1
9/16/2014,TH000048455,"BANGKOK METROPOLIS, TH",21.1,27.8,29,15,15,8.45270936
9/17/2014,TH000048455,"BANGKOK METROPOLIS, TH",21.1,28.5,22,11,15,6.9
9/18/2014,TH000048455,"BANGKOK METROPOLIS, TH",0.8,28.8,17,15,19,8.45270936
9/19/2014,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,30.7,22,29,19,9.5
9/20/2014,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,30.8,24,29,15,8.4
9/21/2014,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,30.9,24,21,19,8.8
9/22/2014,TH000048455,"BANGKOK METROPOLIS, TH",3.3,30,25,20,16,7.5
9/23/2014,TH000048455,"BANGKOK METROPOLIS, TH",0,30.3,30,15,21,7.5
9/24/2014,TH000048455,"BANGKOK METROPOLIS, TH",19.3,28.3,27,21,28,8.45270936
9/25/2014,TH000048455,"BANGKOK METROPOLIS, TH",22.9,27.7,27,30,21,7.7
9/26/2014,TH000048455,"BANGKOK METROPOLIS, TH",1.8,28.9,28,31,25,8.5
9/27/2014,TH000048455,"BANGKOK METROPOLIS, TH",2.8,30.3,28,4,18,10.3
9/28/2014,TH000048455,"BANGKOK METROPOLIS, TH",18.5,28.4,18,28,35,8.45270936
9/29/2014,TH000048455,"BANGKOK METROPOLIS, TH",14,28.9,32,21,32,10.5
9/30/2014,TH000048455,"BANGKOK METROPOLIS, TH",23.6,27.2,26,45,31,8.45270936
10/1/2014,TH000048455,"BANGKOK METROPOLIS, TH",0,29,32,18,27,9.6
10/2/2014,TH000048455,"BANGKOK METROPOLIS, TH",0,27.6,26,36,35,7
10/3/2014,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,29.1,28,26,37,9.5
10/4/2014,TH000048455,"BANGKOK METROPOLIS, TH",11.59554764,28.7,44,22,22,9.5
