date,pm10,o3,no2,rain,temp
2/10/2015,25.33,18.309,14.141,0,26.7
2/11/2015,25.33,18.309,14.141,0,26.6
2/12/2015,25.33,18.309,14.141,0,26.3
2/13/2015,25.33,18.309,14.141,0,26.6
2/14/2015,29,36,11,0,26.8
2/15/2015,27,30,11,0,27.1
2/16/2015,28,23,11,0,27.4
2/17/2015,22,16,9,0,27.4
2/18/2015,18,21,7,0,27.8
2/19/2015,16,24,6,4,26.5
2/20/2015,20,25,8,0,27.5
2/21/2015,18,25,8,0,27.3
2/22/2015,17,23,13,0,27.3
2/23/2015,21,18,11,0,28
2/24/2015,20,23,13,0,27.4
2/25/2015,22,21,11,0,27.6
2/26/2015,22,23,11,0,27.4
2/27/2015,21,20,10,0,27.9
2/28/2015,18,17,11,0,28.3
3/1/2015,18,16,14,0,28.4
3/2/2015,20,18,14,0,28.3
3/3/2015,25,26,19,0,28.4
3/4/2015,27,27,16,14,27.6
3/5/2015,30,28,18,0,27.8
3/6/2015,27,22,12,0,27.9
3/7/2015,19,23,12,0,28.3
3/8/2015,13,14,15,0,28.3
3/9/2015,18,16,15,0,28.6
3/10/2015,20,10,16,0,28.4
3/11/2015,19,16,16,46,25.5
3/12/2015,25,26,15,0,27.3
3/13/2015,22,26,13,0,27.7
3/14/2015,20,22,10,0,28
3/15/2015,20,26,17,0,27.9
3/16/2015,24,28,12,0,28.4
3/17/2015,24,34,10,0,28.3
3/18/2015,26,30,14,0,28.3
3/19/2015,34,49,18,0,28.3
3/20/2015,40,42,14,0,28.5
3/21/2015,38,34,20,0,28.7
3/22/2015,31,24,22,6.4,27.6
3/23/2015,29,26,12,0,28.6
3/24/2015,25,20,10,0,28.6
3/25/2015,23,18,10,0,29
3/26/2015,25,19,11,0,29
3/27/2015,25,18,4,0,28.9
3/28/2015,23,15,4,0,28.7
3/29/2015,21,21,4,9.2,27
3/30/2015,24,19,13,0,28.6
3/31/2015,24,15,24,8.8,27.9
4/1/2015,21,13,18,13.8,27.1
4/2/2015,23,21,23,11.4,27
4/3/2015,30,31,23,0,27.6
4/4/2015,26,11,21,0,28.9
4/5/2015,25,29,22,9.8,27.7
4/6/2015,29,14,14,1.6,28.4
4/7/2015,19,16,10,0,29.2
4/8/2015,18,16,9,0,29.3
4/9/2015,18,20,6,0,29.1
4/10/2015,16,17,16,0.4,29.3
4/11/2015,20,21,16,0,28.2
4/12/2015,22,30,14,0,28.8
4/13/2015,24,24,12,0,29.3
4/14/2015,20,25,10,0,29.2
4/15/2015,17,25,8,0,29.1
4/16/2015,21,20,10,0,29.6
4/17/2015,24,31,18,0.6,29.6
4/18/2015,25,46,20,0,29.6
4/19/2015,28,14,28,8.2,28.3
4/20/2015,36,34,33,0,28.8
4/21/2015,30,31,21,3.2,27.9
4/22/2015,27,15,16,0,28.8
4/23/2015,30,15,15,0,29.5
4/24/2015,25,14,15,1.6,28.7
4/25/2015,19,13,10,0,28.8
4/26/2015,18,11,13,18.8,27.9
4/27/2015,28,10,15,0.4,27.9
4/28/2015,22,19,12,0.2,28.3
4/29/2015,22,17,15,0,28.7
4/30/2015,25,30,16,3.2,27.4
5/1/2015,24,11,15,0,27.7
5/2/2015,21,6,11,16.4,28
5/3/2015,19,13,15,22.2,26.7
